, where, what, value
1967, GPU[1].SA[3].L1VCache[0], req_average_latency, 0.000000089613
1968, GPU[1].SA[3].L1VCache[1], req_average_latency, 0.000000092406
1969, GPU[1].SA[3].L1VCache[2], req_average_latency, 0.000000089613
1970, GPU[1].SA[3].L1VCache[3], req_average_latency, 0.000000089406
1971, GPU[1].SA[4].L1VCache[0], req_average_latency, 0.000000091161
1972, GPU[1].SA[4].L1VCache[1], req_average_latency, 0.000000095406
1973, GPU[1].SA[4].L1VCache[2], req_average_latency, 0.000000095806
1974, GPU[1].SA[4].L1VCache[3], req_average_latency, 0.000000091871
1975, GPU[1].SA[5].L1VCache[0], req_average_latency, 0.000000089172
1976, GPU[1].SA[5].L1VCache[1], req_average_latency, 0.000000094895
1977, GPU[1].SA[5].L1VCache[2], req_average_latency, 0.000000090200
1978, GPU[1].SA[5].L1VCache[3], req_average_latency, 0.000000088789
1979, GPU[1].SA[6].L1VCache[0], req_average_latency, 0.000000087800
1980, GPU[1].SA[6].L1VCache[1], req_average_latency, 0.000000089421
1981, GPU[1].SA[6].L1VCache[2], req_average_latency, 0.000000083600
1982, GPU[1].SA[6].L1VCache[3], req_average_latency, 0.000000090053
1983, GPU[1].SA[7].L1VCache[0], req_average_latency, 0.000000093200
1984, GPU[1].SA[7].L1VCache[1], req_average_latency, 0.000000087526
1985, GPU[1].SA[7].L1VCache[2], req_average_latency, 0.000000083600
1986, GPU[1].SA[7].L1VCache[3], req_average_latency, 0.000000091833
1987, GPU[1].SA[8].L1VCache[0], req_average_latency, 0.000000092316
1988, GPU[1].SA[8].L1VCache[1], req_average_latency, 0.000000085000
1989, GPU[1].SA[8].L1VCache[2], req_average_latency, 0.000000084737
1990, GPU[1].SA[8].L1VCache[3], req_average_latency, 0.000000091050
1991, GPU[1].SA[9].L1VCache[0], req_average_latency, 0.000000092316
1992, GPU[1].SA[9].L1VCache[1], req_average_latency, 0.000000086250
1993, GPU[1].SA[9].L1VCache[2], req_average_latency, 0.000000084737
1994, GPU[1].SA[9].L1VCache[3], req_average_latency, 0.000000093450
1995, GPU[1].SA[10].L1VCache[0], req_average_latency, 0.000000092316
1996, GPU[1].SA[10].L1VCache[1], req_average_latency, 0.000000082895
1997, GPU[1].SA[10].L1VCache[2], req_average_latency, 0.000000085059
1998, GPU[1].SA[10].L1VCache[3], req_average_latency, 0.000000094941
1999, GPU[1].SA[11].L1VCache[0], req_average_latency, 0.000000093688
2000, GPU[1].SA[11].L1VCache[1], req_average_latency, 0.000000089000
2001, GPU[1].SA[11].L1VCache[2], req_average_latency, 0.000000093353
2002, GPU[1].SA[11].L1VCache[3], req_average_latency, 0.000000102059
2003, GPU[1].SA[12].L1VCache[0], req_average_latency, 0.000000096588
2004, GPU[1].SA[12].L1VCache[1], req_average_latency, 0.000000094235
2005, GPU[1].SA[12].L1VCache[2], req_average_latency, 0.000000094412
2006, GPU[1].SA[12].L1VCache[3], req_average_latency, 0.000000102706
2007, GPU[1].SA[13].L1VCache[0], req_average_latency, 0.000000094647
2008, GPU[1].SA[13].L1VCache[1], req_average_latency, 0.000000094471
2009, GPU[1].SA[13].L1VCache[2], req_average_latency, 0.000000097706
2010, GPU[1].SA[13].L1VCache[3], req_average_latency, 0.000000102941
2011, GPU[1].SA[14].L1VCache[0], req_average_latency, 0.000000095118
2012, GPU[1].SA[14].L1VCache[1], req_average_latency, 0.000000097000
2013, GPU[1].SA[14].L1VCache[2], req_average_latency, 0.000000098176
2014, GPU[1].SA[14].L1VCache[3], req_average_latency, 0.000000100824
2015, GPU[1].SA[15].L1VCache[0], req_average_latency, 0.000000095353
2016, GPU[1].SA[15].L1VCache[1], req_average_latency, 0.000000099412
2017, GPU[1].SA[15].L1VCache[2], req_average_latency, 0.000000099353
2018, GPU[1].SA[15].L1VCache[3], req_average_latency, 0.000000100353
2019, GPU[1].L2[0], req_average_latency, 0.000000074378
2020, GPU[1].L2[1], req_average_latency, 0.000000086468
2021, GPU[1].L2[2], req_average_latency, 0.000000077252
2022, GPU[1].L2[3], req_average_latency, 0.000000077578
2023, GPU[1].L2[4], req_average_latency, 0.000000076430
2024, GPU[1].L2[5], req_average_latency, 0.000000078206
2025, GPU[1].L2[6], req_average_latency, 0.000000077448
2026, GPU[1].L2[7], req_average_latency, 0.000000077277
2027, GPU[1].L2[8], req_average_latency, 0.000000076244
2028, GPU[1].L2[9], req_average_latency, 0.000000075658
2029, GPU[1].L2[10], req_average_latency, 0.000000075071
2030, GPU[1].L2[11], req_average_latency, 0.000000085475
2031, GPU[1].L2[12], req_average_latency, 0.000000086075
2032, GPU[1].L2[13], req_average_latency, 0.000000085400
2033, GPU[1].L2[14], req_average_latency, 0.000000084974
2034, GPU[1].L2[15], req_average_latency, 0.000000086613
2035, GPU[1].SA[0].L1VCache[0], read-hit, 0.000000000000
2036, GPU[1].SA[0].L1VCache[0], read-miss, 11.000000000000
2037, GPU[1].SA[0].L1VCache[0], read-mshr-hit, 0.000000000000
2038, GPU[1].SA[0].L1VCache[0], write-hit, 0.000000000000
2039, GPU[1].SA[0].L1VCache[0], write-miss, 21.000000000000
2040, GPU[1].SA[0].L1VCache[0], write-mshr-hit, 0.000000000000
2041, GPU[1].SA[0].L1VCache[1], read-hit, 0.000000000000
2042, GPU[1].SA[0].L1VCache[1], read-miss, 10.000000000000
2043, GPU[1].SA[0].L1VCache[1], read-mshr-hit, 0.000000000000
2044, GPU[1].SA[0].L1VCache[1], write-hit, 0.000000000000
2045, GPU[1].SA[0].L1VCache[1], write-miss, 21.000000000000
2046, GPU[1].SA[0].L1VCache[1], write-mshr-hit, 0.000000000000
2047, GPU[1].SA[0].L1VCache[2], read-hit, 0.000000000000
2048, GPU[1].SA[0].L1VCache[2], read-miss, 11.000000000000
2049, GPU[1].SA[0].L1VCache[2], read-mshr-hit, 0.000000000000
2050, GPU[1].SA[0].L1VCache[2], write-hit, 0.000000000000
2051, GPU[1].SA[0].L1VCache[2], write-miss, 21.000000000000
2052, GPU[1].SA[0].L1VCache[2], write-mshr-hit, 0.000000000000
2053, GPU[1].SA[0].L1VCache[3], read-hit, 0.000000000000
2054, GPU[1].SA[0].L1VCache[3], read-miss, 10.000000000000
2055, GPU[1].SA[0].L1VCache[3], read-mshr-hit, 0.000000000000
